# IRC section -> PDF page -> title | Source: IRC PDF, Release Point 119-102 (Aug 2026), 7,171 pages | Regenerate: pdftotext + regex ^§(sec)\. per page
875	3506	Partnerships; beneficiaries of estates and trusts
876	3507	Alien residents of Puerto Rico, Guam, American Samoa, or the Northern
877	3507	Expatriation to avoid tax
877A	3516	Tax responsibilities of expatriation
878	3522	Foreign educational, charitable, and certain other exempt organizations
879	3523	Tax treatment of certain community income in the case of nonresident
881	3524	Tax on income of foreign corporations not connected with United States
882	3531	Tax on income of foreign corporations connected with United States
883	3535	Exclusions from gross income
884	3537	Branch profits tax
885	3543	Cross references
887	3544	Imposition of tax on gross transportation income of nonresident aliens and
891	3546	Doubling of rates of tax on citizens and corporations of certain foreign
892	3546	Income of foreign governments and of international organizations
893	3548	Compensation of employees of foreign governments or international
894	3549	Income affected by treaty
895	3550	Income derived by a foreign central bank of issue from obligations of the
896	3551	Adjustment of tax on nationals, residents, and corporations of certain
897	3553	Disposition of investment in United States real property
898	3571	Taxable year of certain foreign corporations
901	3574	Taxes of foreign countries and of possessions of United States
903	3589	Credit for taxes in lieu of income, etc., taxes
904	3589	Limitation on credit
905	3626	Applicable rules
906	3629	Nonresident alien individuals and foreign corporations
907	3630	Special rules in case of foreign oil and gas income
908	3639	Reduction of credit for participation in or cooperation with an
909	3640	Suspension of taxes and credits until related income taken into account
911	3642	Citizens or residents of the United States living abroad
912	3654	Exemption for certain allowances
931	3658	Income from sources within Guam, American Samoa, or the Northern
932	3662	Coordination of United States and Virgin Islands income taxes
933	3665	Income from sources within Puerto Rico
934	3665	Limitation on reduction in income tax liability incurred to the Virgin
937	3669	Residence and source rules involving possessions
951	3671	Amounts included in gross income of United States shareholders
951A	3676	Net CFC tested income included in gross income of United States
951B	3678	Amounts included in gross income of foreign controlled United States
952	3680	Subpart F income defined
953	3685	Insurance income
954	3697	Foreign base company income
956	3718	Investment of earnings in United States property
957	3724	Controlled foreign corporations; United States persons
958	3726	Rules for determining stock ownership
959	3728	Exclusion from gross income of previously taxed earnings and profits
960	3731	Deemed paid credit for subpart F inclusions
961	3737	Adjustments to basis of stock in controlled foreign corporations and of
962	3739	Election by individuals to be subject to tax at corporate rates
964	3740	Miscellaneous provisions
965	3743	Treatment of deferred foreign income upon transition to participation
970	3756	Reduction of subpart F income of export trade corporations
971	3759	Definitions
982	3761	Admissibility of documentation maintained in foreign countries
985	3763	Functional currency
986	3764	Determination of foreign taxes and foreign corporation's earnings and
987	3766	Branch transactions
988	3767	Treatment of certain foreign currency transactions
989	3775	Other definitions and special rules
991	3777	Taxation of a domestic international sales corporation
992	3779	Requirements of a domestic international sales corporation
993	3782	Definitions and special rules
994	3788	Inter-company pricing rules
995	3789	Taxation of DISC income to shareholders
996	3797	Rules for allocation in the case of distributions and losses
997	3800	Special subchapter C rules
999	3800	Reports by taxpayers; determinations
1001	3804	Determination of amount of and recognition of gain or loss
1011	3807	Adjusted basis for determining gain or loss
1012	3808	Basis of property—cost
1013	3810	Basis of property included in inventory
1014	3810	Basis of property acquired from a decedent
1015	3815	Basis of property acquired by gifts and transfers in trust
1016	3818	Adjustments to basis
1017	3832	Discharge of indebtedness
1019	3836	Property on which lessee has made improvements
1021	3837	Sale of annuities
1023	3837	Cross references
1031	3839	Exchange of real property held for productive use or investment
1032	3844	Exchange of stock for property
1033	3845	Involuntary conversions
1035	3855	Certain exchanges of insurance policies
1036	3857	Stock for stock of same corporation
1037	3857	Certain exchanges of United States obligations
1038	3859	Certain reacquisitions of real property
1040	3862	Transfer of certain farm, etc., real property
1041	3864	Transfers of property between spouses or incident to divorce
1042	3865	Sales of stock to employee stock ownership plans or certain cooperatives
1043	3873	Sale of property to comply with conflict-of-interest requirements
1045	3875	Rollover of gain from qualified small business stock to another qualified
1052	3878	Basis established by the Revenue Act of 1932 or 1934 or by the Internal
1053	3878	Property acquired before March 1, 1913
1054	3879	Certain stock of Federal National Mortgage Association
1055	3879	Redeemable ground rents
1058	3881	Transfers of securities under certain agreements
1059	3882	Corporate shareholder's basis in stock reduced by nontaxed portion of
1059A	3889	Limitation on taxpayer's basis or inventory cost in property imported
1060	3890	Special allocation rules for certain asset acquisitions
1061	3892	Partnership interests held in connection with performance of services
1062	3894	Gain from the sale or exchange of qualified farmland property to
1063	3896	Cross references
1091	3898	Loss from wash sales of stock or securities
1092	3900	Straddles
1202	3913	Partial exclusion for gain from certain small business stock
1211	3925	Limitation on capital losses
1212	3926	Capital loss carrybacks and carryovers
1221	3934	Capital asset defined
1222	3937	Other terms relating to capital gains and losses
1223	3939	Holding period of property
1231	3945	Property used in the trade or business and involuntary conversions
1233	3950	Gains and losses from short sales
1234	3954	Options to buy or sell
1234A	3956	Gains or losses from certain terminations
1234B	3957	Gains or losses from securities futures contracts
1235	3959	Sale or exchange of patents
1236	3960	Dealers in securities
1237	3962	Real property subdivided for sale
1239	3965	Gain from sale of depreciable property between certain related taxpayers
1241	3968	Cancellation of lease or distributor's agreement
1242	3969	Losses on small business investment company stock
1243	3969	Loss of small business investment company
1244	3970	Losses on small business stock
1245	3973	Gain from dispositions of certain depreciable property
1248	3981	Gain from certain sales or exchanges of stock in certain foreign
1249	3989	Gain from certain sales or exchanges of patents, etc., to foreign
1250	3990	Gain from dispositions of certain depreciable realty
1252	4003	Gain from disposition of farm land
1253	4005	Transfers of franchises, trademarks, and trade names
1254	4007	Gain from disposition of interest in oil, gas, geothermal, or other mineral
1255	4009	Gain from disposition of section 126 property
1256	4011	Section 1256 contracts marked to market
1257	4022	Disposition of converted wetlands or highly erodible croplands
1258	4023	Recharacterization of gain from certain financial transactions
1259	4025	Constructive sales treatment for appreciated financial positions
1260	4028	Gains from constructive ownership transactions
1271	4032	Treatment of amounts received on retirement or sale or exchange of debt
1272	4039	Current inclusion in income of original issue discount
1273	4043	Determination of amount of original issue discount
1274	4045	Determination of issue price in the case of certain debt instruments issued
1274A	4050	Special rules for certain transactions where stated principal amount
1275	4052	Other definitions and special rules
1276	4056	Disposition gain representing accrued market discount treated as
1277	4059	Deferral of interest deduction allocable to accrued market discount
1278	4061	Definitions and special rules
1281	4064	Current inclusion in income of discount on certain short-term obligations
1282	4066	Deferral of interest deduction allocable to accrued discount
1283	4067	Definitions and special rules
1286	4069	Tax treatment of stripped bonds
1287	4073	Denial of capital gain treatment for gains on certain obligations not in
1288	4073	Treatment of original issue discount on tax-exempt obligations
1291	4075	Interest on tax deferral
1293	4081	Current taxation of income from qualified electing funds
1294	4084	Election to extend time for payment of tax on undistributed earnings
1295	4086	Qualified electing fund
1296	4088	Election of mark to market for marketable stock
1297	4093	Passive foreign investment company
1298	4097	Special rules
1301	4104	Averaging of farm income
1311	4106	Correction of error
1312	4108	Circumstances of adjustment
1313	4109	Definitions
1314	4110	Amount and method of adjustment
1341	4113	Computation of tax where taxpayer restores substantial amount held
1351	4117	Treatment of recoveries of foreign expropriation losses
1352	4120	Alternative tax on qualifying shipping activities
1353	4120	Notional shipping income
1354	4122	Alternative tax election; revocation; termination
1355	4123	Definitions and special rules
1356	4127	Qualifying shipping activities
1357	4129	Items not subject to regular tax; depreciation; interest
